"lemma","count_final","rate_final","count_all","rate_all","vs_all","count_not_final","rate_not_final","vs_not_final","diff_rates"
"raconter",6,0.000510073960724305,11,0.000107256381754714,102558,5,5.50691117352277e-05,90795,9.26243305279266
"grever",7,0.000595086287511689,13,0.000126757542073753,102558,6,6.60829340822732e-05,90795,9.00514324577064
"endormir",10,0.000850123267873842,19,0.00018526102303087,102558,9,9.91244011234099e-05,90795,8.57632690073394
"envoiier",10,0.000850123267873842,19,0.00018526102303087,102558,9,9.91244011234099e-05,90795,8.57632690073394
"demener",11,0.000935135594661226,21,0.000204762183349909,102558,10,0.000110138223470455,90795,8.4905636317266
"torner",11,0.000935135594661226,21,0.000204762183349909,102558,10,0.000110138223470455,90795,8.4905636317266
"tourment",25,0.0021253081696846,48,0.000468027847656936,102558,23,0.000253317913982047,90795,8.38988501158755
"octroyer",13,0.00110516024823599,25,0.000243764503987987,102558,12,0.000132165868164546,90795,8.36191872821559
"volonté",15,0.00127518490181076,29,0.000282766824626065,102558,14,0.000154193512858638,90795,8.27002951142201
"demander",31,0.00263538213040891,60,0.000585034809571169,102558,29,0.000319400848064321,90795,8.25101794932679
"dolent",17,0.00144520955538553,33,0.000321769145264143,102558,16,0.000176221157552729,90795,8.20111259882683
"conter",38,0.0032304684179206,74,0.000721542931804442,102558,36,0.000396497604493639,90795,8.14751055569724
"lever",28,0.00238034515004676,56,0.000546032488933092,102558,28,0.000308387025717275,90795,7.71869421066055
"nourrir",16,0.00136019722859815,32,0.000312018565104624,102558,16,0.000176221157552729,90795,7.71869421066055
"lié",14,0.00119017257502338,28,0.000273016244466546,102558,14,0.000154193512858638,90795,7.71869421066055
