MAISTRE	NOMcom	maistre
belle	ADJqua	beau
dame	NOMcom	dame
!	PONfrt	!

Se	CONsub	se
vous	PROper	vous
n'	ADVneg	ne
avez	VERcjg	avoir
du	PRE.DETdef	de.le
drap	NOMcom	drap
pour	PRE	pour
nous	PROper	nous
deux	PROcar	deux
largement	ADVgen	largement
,	PONfbl	,
si	ADVgen	si
me	PROper	je
desmentez	VERcjg	démentir
hardiement	ADVgen	hardiment
.	PONfrt	.

Quel	DETint	quel
couleur	NOMcom	couleur
vous	PROper	vous
semble	VERcjg	sembler
plus	ADVgen	plus
belle	ADJqua	beau
d'	PRE	de
ung	DETndf	un
gris	NOMcom	gris
vert	ADJqua	vert
ou	CONcoo	o
d'	PRE	de
une	DETndf	un
brunette	NOMcom	brunette
ou	CONcoo	o
d'	PRE	de
aultre	PROind	autre
?	PONfrt	?

Il	PROimp	il
le	PROper	il
me	PROper	je
fault	VERcjg	falir
sçavoir	VERinf	savoir
.	PONfrt	.

GUILLEMETTE	NOMcom	guilleme
Tel	ADJind	tel
que	CONsub	que
vous	PROper	vous
le	PROper	il
pourrez	VERcjg	pouvoir
avoir	VERinf	avoir
:	PONfbl	:
qui	PROrel	que
emprunte	VERcjg	emprunter
ne	ADVneg	ne
choisist	VERcjg	choisir
mye	ADVneg	mie
.	PONfrt	.

PATHELIN	NOMcom	patilin
,	PONfbl	,
en	PRE	en
contant	VERppa	conter
sur	PRE	sur
ses	DETpos	son
dois	NOMcom	dois
Pour	PRE	pour
vous	PROper	vous
,	PONfbl	,
deux	DETcar	deux
aulnes	NOMcom	aune
et	CONcoo	et
demye	ADJqua	demi
,	PONfbl	,
et	CONcoo	et
pour	PRE	pour
moy	PROper	moi
trois	ADJcar	trois
,	PONfbl	,
voire	ADVgen	voir
bien	ADVgen	bien
quatre	PROcar	catre
;	PONfbl	;
ce	PROdem	ce
sont	VERcjg	estre
...	PONfrt	.
GUILLEMETTEVous	NOMpro	Guilleus
comptez	VERppe	conter
sans	PRE	sans
rabatre	VERinf	rabattre
.	PONfrt	.

Qui	PROint	que
,	PONfbl	,
dyable	NOMcom	diable
,	PONfbl	,
les	PROper	il
vous	PROper	vous
prestera	VERcjg	prester
?	PONfrt	?

PATHELIN	NOMcom	patilin
Que	PROint	que
vous	PROper	vous
en	PROadv	en
chault	VERcjg	chaloir
qui	PROint	que
se	PROper	soi
fera	VERcjg	faire
?	PONfrt	?

On	PROind	on
les	PROper	il
me	PROper	je
prestera	VERcjg	prester
vrayement	ADVgen	vraiment
a	PRE	a
rendre	VERinf	rendre
au	PRE.DETdef	a
jour	NOMcom	jour
du	PRE.DETdef	de.le
jugement	NOMcom	jugement
,	PONfbl	,
car	CONcoo	car
plus	ADVgen	plus
tost	ADVgen	tost
ne	ADVneg	ne
sera	VERcjg	estre
ce	DETdem	ce
point	ADVneg	point
.	PONfrt	.

GUILLEMETTE	VERcjg	guillement
Avant	ADVgen	avant
,	PONfbl	,
mon	DETpos	mon
amy	NOMcom	ami
!	PONfrt	!

En	PRE	en
ce	DETdem	ce
point	NOMcom	point
,	PONfbl	,
quel	PROrel	quel
que	PROrel	que
soit	VERcjg	estre
en	PROadv	en
sera	VERcjg	estre
couvert	VERppe	couvrir
.	PONfrt	.

PATHELIN	NOMcom	patilin
J'	PROper	je
acheteray	VERcjg	acheter
ou	CONcoo	o
gris	NOMcom	gris
ou	CONcoo	o
vert	ADJqua	vert
,	PONfbl	,
et	CONcoo	et
pour	PRE	pour
ung	DETndf	un
blanchet	NOMcom	blanchet
,	PONfbl	,
Guillemette	NOMpro	Guillemet
,	PONfbl	,
me	PROper	je
fault	VERcjg	falir
trois	DETcar	trois
