Plaist	VERcjg	plaire
vient	VERcjg	venir
,	PONfbl	,
nus	PROper	nous
veintrum	VERcjg	vaincre
Arabiz	NOMpro	Arabi
.	PONfbl	.
”	PONpdr	”
E	CONcoo	et
dist	VERcjg	dire
Esturmi	NOMpro	Esturmi
:	PONfbl	:
“	PONpga	“
Malveis	ADJqua	mauvais
conseil	NOMcom	conseil
ad	VERcjg	avoir
ici	ADVgen	ici
.	PONfrt	.

Estrange	ADJqua	estrange
gent	NOMcom	gent
tant	ADVgen	tant
le	PROper	il
loent	VERcjg	löer
tut	DETind	tout
dis	NOMcom	di
,	PONfbl	,
E	CONcoo	et
noz	DETpos	notre
homes	NOMcom	homme
fait	VERcjg	faire
tuz	PROind	tous
tenir	VERinf	tenir
a	PRE	a
vils	NOMcom	vil
.	PONfbl	.
”	PONpdr	”
Respunt	VERcjg	répondre
Tedbald	NOMpro	Thibaud
:	PONfbl	:
“	PONpga	“
Unques	ADVgen	onques
pur	PRE	pour
el	PROind	el
nel	ADVneg.PROper	ne
dist	VERcjg	dire
,	PONfbl	,
Mais	CONcoo	mais
a	PRE	a
la	DETdef	le
bataille	NOMcom	bataille
n'	ADVneg	ne
ose	VERcjg	oser
il	PROper	il
pas	ADVneg	pas
venir	VERinf	venir
.	PONfbl	.
”	PONpdr	”
Dist	VERcjg	dire
Vivien	NOMpro	Vivien
:	PONfbl	:
“	PONpga	“
Ore	ADVgen	or
avez	VERcjg	avoir
vus	PROper	vous
mesdit	VERppe	mesdire
,	PONfbl	,
Car	CONcoo	car
il	PROper	il
nen	ADVneg	ne
est	VERcjg	estre
nez	VERppe	naistre
ne	CONcoo	ne
de	PRE	de
sa	DETpos	son
mere	NOMcom	mere
vis	ADJqua	vif
,	PONfbl	,
Deça	ADVgen	deça
la	DETdef	le
mer	NOMcom	mer
,	PONfbl	,
ne	CONcoo	ne
dela	PRE	delà
la	DETdef	le
rin	NOMcom	rin
,	PONfbl	,
N'	CONcoo	ne
en	PRE	en
la	DETdef	le
crestienté	NOMcom	chrétienté
,	PONfbl	,
n'	ADVneg	ne
entre	PRE	entre
Arabiz	NOMpro	Arabi
,	PONfbl	,
Mielz	ADVgen	mieux
de	PRE	de
mei	PROper	moi
ose	VERcjg	oser
grant	ADJqua	grant
bataille	NOMcom	bataille
tenir	VERinf	tenir
,	PONfbl	,
Fors	PRE	fors
sul	ADJqua	seul
Willame	NOMpro	Guillaume
al	PRE.DETdef	à.le
curt	ADJqua	court
niés	NOMcom	nevo
,	PONfbl	,
le	DETdef	le
marchis	NOMcom	marquis
.	PONfrt	.

Il	PROper	il
est	VERcjg	estre
mis	DETpos	mon
uncles	NOMcom	oncle
,	PONfbl	,
vers	PRE	vers
li	PROper	il
ne	ADVneg	ne
m'	PROper	je
en	PROadv	en
atis	VERcjg	atistre
,	PONfbl	,
Lunsdi	VERcjg	londre
al	PRE.DETdef	à.le
vespre	NOMcom	vêpre
.	PONfrt	.

Jo	PROper	je
ne	ADVneg	ne
met	VERcjg	metre
mie	ADVneg	mie
a	PRE	a
pris	NOMcom	pris
Willame	NOMpro	Guillaume
.	PONfbl	.
”	PONpdr	”
Dunt	PROrel	dont
dist	VERcjg	dire
Tedbald	NOMpro	Thibaud
:	PONfbl	:
“	PONpga	“
Aportez	VERcjg	aporter
mei	PROper	moi
le	DETdef	le
vin	NOMcom	vin
,	PONfbl	,
Si	ADVgen	si
me	PROper	je
donez	VERcjg	doner
,	PONfbl	,
si	ADVgen	si
beverai	VERcjg	boivre
a	PRE	a
Esturmi	NOMpro	Esturmi
;	PONfbl	;
Ainz	ADVgen	ains
demain	ADVgen	demain
prime	NOMcom	prim
requerrun	VERcjg	requérir
Arrabiz	NOMpro	Arabi
,	PONfbl	,
De	PRE	de
set	DETcar	sept
liwes	NOMcom	lieue
en	PROadv	en
orrat	VERcjg	ouïr
l'	DETdef	le
em	PROind	on
les	DETdef	le
criz	NOMcom	cri
,	PONfbl	,
Hanstes	NOMcom	hanste
freindre	VERinf	fraindre
e	CONcoo	et
forz	ADJqua	fort
escuz	NOMcom	escu
croissir	VERinf	croissir
.	PONfbl	.
”	PONpdr	”
E	CONcoo	et
li	DETdef	le
botillers	NOMcom	botiller
lur	PROper	leur
aporta	VERcjg	aporter
le	DETdef	le
vin	NOMcom	vin
,	PONfbl	,
But	VERcjg	boivre
ent	PROadv	en
Tedbald	NOMpro	Thibaud
,	PONfbl	,
sin	ADVgen.PROadv	si.en
donad	VERcjg	donner
a	PRE	a
Esturmi	NOMpro	Esturmi
;	PONfbl	;
E	CONcoo	et
Vivien	NOMpro	Vivien
s'	PROper	soi
en	PROadv	en
alad	VERcjg	aller
a	PRE	a
sun	DETpos	son
ostel	NOMcom	ostel
dormir	VERinf	dormir
.	PONfrt	.

Dunc	CONcoo	donc
s'	PROper	soi
asemblerent	VERcjg	assembler
les	DETdef	le
homes	NOMcom	homme
de	PRE	de
lur	DETpos	leur
terre	NOMcom	terre
;	PONfbl	;
Quant	CONsub	quand
vint	VERcjg	venir
a	PRE	a
l'	DETdef	le
albe	NOMcom	aube
,	PONfbl	,
dis	PROcar	dis
mil	PROcar	mille
sunt	VERcjg	être
od	PRE	o
helmes	NOMcom	heaume
.	PONfrt	.

Par	PRE	par
mein	NOMcom	main
levad	VERcjg	lever
Tedbald	NOMpro	Thibaud
a	PRE	a
unes	DETndf	un
estres	NOMcom	estre
,	PONfbl	,
De	PRE	de
devers	PRE	devers
le	DETdef	le
vent	NOMcom	vent
ovrit	VERcjg	ouvrir
une	DETndf	un
fenestre	NOMcom	fenestre
,	PONfbl	,
Mirat	VERcjg	mirer
le	DETdef	le
ciel	NOMcom	ciel
