Seignor	NOMcom	seignor
mais	CONcoo	mais
la	DETdef	le
fole	ADJqua	fol
gent	NOMcom	gent
voient	VERcjg	vëoir
Que	CONsub	que
lor	DETpos	lor
leus	NOMcom	lieu
laissent	VERcjg	laisser
cil	PROdem	cel
qui	PROrel	que
desvoiez	VERppe	desvoiier
avoient	VERcjg	avoir
Por	PRE	por
oster	VERinf	oster
le	DETdef	le
pechié	NOMcom	péché
que	PROrel	que
en	PRE	en
tel	DETind	tel
leu	NOMcom	lieu
savoient	VERcjg	savoir
.	PONfrt	.

En	PRE	en
ce	DETdem	ce
leu	NOMcom	lieu
faisoit	VERcjg	faire
on	PROind	on
pechié	NOMcom	péché
et	CONcoo	et
grant	ADJqua	grant
ordure	NOMcom	ordure
:	PONfbl	:
A	PRE	a
l'	DETdef	le
oster	VERinf	oster
ont	VERcjg	avoir
eü	VERppe	avoir
mainte	DETind	maint
parole	NOMcom	parole
dure	ADJqua	dur
;	PONfbl	;
Mais	CONcoo	mais
Jehucriz	NOMpro	Jéhuchiz
li	DETdef	le
rois	NOMcom	roi
qui	PROrel	que
toz	DETind	tot
jors	NOMcom	jour
regne	VERcjg	regner
et	CONcoo	et
dure	VERcjg	durer
Si	ADVgen	si
conduise	VERcjg	conduire
celui	PROdem	cel
qui	PROrel	que
les	PROper	il
i	PROadv	i
fit	VERcjg	fïer
conduire	VERinf	conduire
!	PONfrt	!

La	DETdef	le
coe	NOMcom	cöe
dou	PRE.DETdef	de.le
cheval	NOMcom	cheval
desfant	VERcjg	defendre
la	DETdef	le
beste	NOMcom	beste
tote	ADJind	tot
,	PONfbl	,
Et	CONcoo	et
c'	PROdem	ce
est	VERcjg	estre
li	DETdef	le
plus	ADVgen	plus
vilz	ADJqua	vil
membres	NOMcom	membre
,	PONfbl	,
et	CONcoo	et
la	DETdef	le
mouche	NOMcom	mouche
la	DETdef	le
doute	NOMcom	doute
.	PONfrt	.

...	PONfrt	.
...	PONfrt	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	ADJord	.
...	PONfrt	.
...	PONfrt	.
...	PONfrt	.
...	PONfrt	.
.	PONfrt	.

Nos	PROper	nos
avons	VERcjg	avoir
euz	VERppe	avoir
es	PRE.DETdef	en.le
testes	NOMcom	tête
,	PONfbl	,
et	CONcoo	et
si	ADVgen	si
n'	ADVneg	ne
en	PROadv	en
veons	VERcjg	vëoir
gote	NOMcom	gote
.	PONfrt	.

Se	CONsub	se
partout	ADVgen	partout
avoit	VERcjg	avoir
eve	NOMcom	aigue
,	PONfbl	,
tiex	PROind	tel
buvroit	VERcjg	bouvrer
qui	PROrel	que
a	PRE	a
soi	PROper	soi
.	PONfrt	.

Vos	PROper	vos
veez	VERcjg	vëoir
,	PONfbl	,
li	DETdef	le
navrez	VERppe	navrer
viaut	VERcjg	voloir
le	DETdef	le
mire	NOMcom	mire
lez	PRE	lez
soi	PROper	soi
,	PONfbl	,
Et	CONcoo	et
nos	PROper	nos
,	PONfbl	,
qui	PROrel	que
sons	VERcjg	savoir
navré	VERppe	navrer
chacun	DETind	chacun
jor	NOMcom	jor
endroit	PRE	endroit
soi	PROper	soi
,	PONfbl	,
N'	ADVneg	ne
avons	VERcjg	avoir
cure	NOMcom	cure
dou	PRE.DETdef	de.le
mire	NOMcom	mire
,	PONfbl	,
ainz	ADVgen	ainz
nos	PROper	nos
morons	VERcjg	mourir
de	PRE	de
soi	PROper	soi
.	PONfrt	.

La	ADVgen	là
deüst	VERcjg	devoir
estre	VERinf	estre
mires	NOMcom	mire
la	ADVgen	là
ou	PROrel	où
sont	VERcjg	estre
li	DETdef	le
plaié	NOMcom	plaié
;	PONfbl	;
Car	CONcoo	car
par	PRE	par
les	DETdef	le
mires	NOMcom	mire
sont	VERcjg	estre
li	DETdef	le
navré	VERppe	navrer
apaié	VERppe	apaiier
.	PONfrt	.

Menor	ADJqua	menor
sont	VERcjg	estre
mire	NOMcom	mire
,	PONfbl	,
et	CONcoo	et
nos	PROper	nos
sons	VERcjg	savoir
par	PRE	par
eus	PROper	eux
apaié	VERppe	apaiier
:	PONfbl	:
Por	PRE	por
ce	PROdem	ce
sont	VERcjg	estre
li	DETdef	le
Menor	ADJqua	menor
en	PRE	en
la	DETdef	le
vile	NOMcom	vile
avoié	VERppe	avoiier
.	PONfrt	.

Ou	CONcoo	o
miex	ADVgen	mieux
de	PRE	de
la	DETdef	le
cité	NOMcom	cité
doivent	VERcjg	devoir
tel	DETind	tel
gent	NOMcom	gent
venir	VERinf	venir
;	PONfbl	;
