"lemma","count","rate","count_all","rate_all","vs_all","rate_not_final","vs_not_final","diff_rates"
"jeter",1,0.00109649122807018,64,0.000534665541641256,119701,0.000631192954684353,99811,1.73717279309385
"sembler",1,0.00109649122807018,68,0.000568082137993835,119701,0.000671268697838916,99811,1.63346098455093
"grant",7,0.00767543859649123,538,0.00449453220942181,119701,0.00532005490376812,99811,1.44273672646777
"être",5,0.00548245614035088,457,0.00381784613328209,119701,0.00452855897646552,99811,1.21064033147027
"traire",1,0.00109649122807018,98,0.000818706610638173,119701,0.000971836771498131,99811,1.12826686561765
"lever",1,0.00109649122807018,104,0.000868831505167041,119701,0.00103195038622997,99811,1.06254258218361
"amer",1,0.00109649122807018,105,0.000877185654255186,119701,0.00104196932201862,99811,1.05232582658569
"gent",1,0.00109649122807018,113,0.000944018846960343,119701,0.00112212080832774,99811,0.977159696115288
"parler",1,0.00109649122807018,154,0.00128653895957427,119701,0.001532897175662,99811,0.715306444215113
"voir",1,0.00109649122807018,179,0.00149539268677789,119701,0.00178337057037801,99811,0.614842055982653
"dire",5,0.00548245614035088,1254,0.0104761029565334,119701,0.012513650800012,99811,0.438118038290281
"vouloir",1,0.00109649122807018,255,0.00213030801747688,119701,0.00254480969031469,99811,0.430873566790993
"savoir",2,0.00219298245614035,627,0.00523805147826668,119701,0.00626183486790033,99811,0.350214035087719
"vëoir",1,0.00109649122807018,410,0.0034252011261393,119701,0.00409774473755398,99811,0.267584073263844
